"model_id","target_end_date","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"CFA_Pyrenew-Pyrenew_E_COVID",2025-06-21,0.000369674835210295,0.000499483299786927,0,0,1
"CFA_Pyrenew-Pyrenew_E_COVID",2025-06-28,0.000323645002965231,0.000555350191054389,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-05,0.000345464432617941,0.000342880581980765,0.5,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-12,0.000564675522418256,0.000830617197250975,0.5,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-19,0.000291312917927974,0.000485438995874596,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-07-26,0.000507087457754345,0.000896170054063374,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-02,0.000459007882112836,0.000866155457736479,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-09,0.000221196089419095,0.000222302879941925,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-16,0.000479491139537021,0.0006959980478017,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-23,0.00050870822670683,0.000900388460148125,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-08-30,0.000501738919427356,0.000874930120067108,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-06,0.00135725579483545,0.00205625076643699,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-13,0.000379449909061057,0.000626549442622364,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-20,0.000190357375855925,2.53674059402928e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-09-27,0.000607398893129111,0.00098073424593218,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-11-22,5.7671884972831e-05,0.000101952005522318,1,1,1
"CFA_Pyrenew-Pyrenew_E_COVID",2025-11-29,0.000207707613575611,0.000318955347055894,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-10-04,0.000393193586961876,0.000739771151363928,0,1,1
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-06,0.000250669143932185,0.000450320111918755,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-13,0.000131643895150453,0.000106376100626651,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-20,0.000560604485149681,0.000891325866419683,0,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2025-12-27,0.000884205283834359,0.00134658139999873,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-03,0.00222389032813538,0.002767380867694,0,0,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-10,0.00288861000123788,0.00375718791122481,0.5,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-17,0.00048479712663932,0.000815272737826563,0.5,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-24,0.00075598713815809,0.00129451658397867,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-01-31,0.000240408133842802,0.000193012212741621,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-07,0.000294017992307844,0.000348783297551328,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-14,0.000188700944810205,0.000138088786869546,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-21,0.000184599063109274,4.65160297737988e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-02-28,0.000302785712862895,0.000523016515671116,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-07,0.000228887970210318,0.000332273615585642,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-14,0.000155753152570371,0.000202985630907392,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-21,0.000325623669742919,0.000505306615208562,0.5,0.5,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-03-28,0.000381479246715101,0.000639451284202362,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-04-04,0.000269899254815759,0.000475063418474819,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-04-11,8.23057528906654e-05,5.49212492997925e-05,1,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-04-18,9.67723217396253e-05,0.000129196733971847,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-04-25,0.00013854397393883,0.000248531181531049,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-05-02,9.0736811958216e-05,0.000165262495981746,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-05-09,7.96046703201151e-05,0.000116216627445895,0.5,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-05-16,7.42455884832608e-05,0.000139994280826029,0,1,2
"CFA_Pyrenew-Pyrenew_E_COVID",2026-05-23,8.84819883978527e-05,0.000158716398474624,0,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-05,0.000358019280441367,0.000381275244632752,0.5,0.5,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-12,0.000590435384468663,0.000881501135119936,0,0.5,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-19,0.000438804859596018,0.000807934851261533,0,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-07-26,0.000479410624259326,0.000888698477798838,0,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-06-28,7.30728675901935e-05,0.000138243528852788,0,1,1
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-02,0.000376236647601055,0.000695731616271052,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-09,0.000220010037304179,8.79671868064657e-05,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-16,0.000424167489818945,0.00041355597697961,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-23,0.000409147473443223,0.000611812183302441,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-08-30,0.000675177653197662,0.00120900052088458,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-06,0.00128741240778683,0.00197078189657317,0,0.5,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-13,0.000424604571624018,0.000648476605619371,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-20,0.00017986202101426,9.0475899017433e-05,1,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-09-27,0.00058504192490364,0.000959876008717232,0,0.5,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-10-04,0.000353530438884865,0.000675618298423044,0,1,1
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-11-29,0.000209518919922272,0.000275699708193442,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-06,0.00024881132737447,0.000445665656351322,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-13,0.000167800247487131,0.000213799359211326,0.5,1,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-20,0.000878146940219337,0.00130243369658288,0,0.5,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-11-22,5.37700385153334e-05,8.44222373332457e-05,1,1,1
"CFA_Pyrenew-Pyrenew_HE_COVID",2025-12-27,0.00108700819645961,0.0014996229301223,0,0.5,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-01-03,0.00242341132175023,0.00311217081514845,0,0,2
"CFA_Pyrenew-Pyrenew_HE_COVID",2026-01-10,0.0019865845797866,0.00287873843963685,0.5,0.5,2
