"model_id","reference_date","wis_scaled_relative_skill","wis_scaled_relative_skill__log","wis","wis__log","ae_median_scaled_relative_skill","ae_median_scaled_relative_skill__log","ae_median","ae_median__log","interval_coverage_50","interval_coverage_95","n"
"CADPH-CovidCAT_Ensemble",2025-11-29,0.319457155100682,0.260482728428656,15.2264138359173,0.0554544320879803,0.331785024643569,0.331212834141781,22.8243465045975,0.0815682495392127,0.75,1,4
"CADPH-CovidCAT_Ensemble",2025-12-06,1.56542572323645,1.4406082077447,103.093787924023,0.425412705334313,1.3907941833729,1.62598201463869,133.893560413616,0.574071529811299,0,0,4
"CADPH-CovidCAT_Ensemble",2025-12-13,1.06819440569292,0.980224993367776,73.329894373348,0.267979775658317,0.986711796224782,1.09435250853766,108.130614522575,0.401230982716356,0,0.25,4
"CADPH-CovidCAT_Ensemble",2025-12-20,0.266189403708063,0.246228745113255,16.6833747223984,0.0509036260182259,0.220191332678755,0.233168634966082,18.5412466123705,0.0576679609263682,0.75,1,4
"CADPH-CovidCAT_Ensemble",2025-12-27,0.295471968339253,0.286951753039755,19.3032636532591,0.0602442719514555,0.319801276859201,0.346353547190065,27.1975348382797,0.0837821934469174,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-01-03,0.356060657346209,0.313679998499044,23.1204578682555,0.0677674980035636,0.33576950872098,0.353302733419682,34.860457132195,0.107065993783113,0.5,1,4
"CADPH-CovidCAT_Ensemble",2026-01-10,2.75078242747346,1.97867949067851,111.843858948258,0.295160758551964,3.23284464127419,2.54064046299007,178.031164546934,0.468831053084725,0,0.75,4
"CADPH-CovidCAT_Ensemble",2026-01-17,0.718683296869177,0.644843455311501,28.0722573116948,0.0875301082306768,0.890001985266504,0.921302012237567,43.305268469833,0.139227922838939,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-01-24,0.581966928612048,0.515716331024272,21.2063681988342,0.0718897209562787,0.783973495771951,0.868832905488359,39.2880595797655,0.13090535356584,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-01-31,1.09221162639859,0.867722431685941,37.1369275799706,0.133727888219718,1.31041096113845,1.17578939658386,63.4262802271837,0.227380128156628,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-02-07,2.18290150951956,2.09345022401245,79.1673141733493,0.306084703873193,2.20807610450686,2.81147842540399,112.477202556034,0.448024076371042,0,0.5,4
"CADPH-CovidCAT_Ensemble",2026-02-14,0.963865646802985,0.834070200946496,33.0243122043317,0.119843226023079,1.03659953924454,1.03763882352695,49.2628063157045,0.178730224566763,0.25,0.75,4
"CADPH-CovidCAT_Ensemble",2026-02-21,0.672911935727654,0.617511469703263,25.6251169242387,0.095020071482131,0.953190441076782,0.940565469063045,43.5568797857503,0.16725710385244,0.5,1,4
"CADPH-CovidCAT_Ensemble",2026-02-28,0.490079708341547,0.52398919822769,17.6289559908318,0.0789937428028096,0.574680442533687,0.65133186210688,28.359129875624,0.124386153010698,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-03-07,0.467898748547612,0.524534393871219,15.8934496610315,0.0822144588991927,0.578876651886862,0.690368847375198,27.1615384179793,0.136197558443837,0.5,1,4
"CADPH-CovidCAT_Ensemble",2026-03-14,0.848958880562641,0.941845242452597,27.7786965042613,0.166991828342444,0.987765354390488,1.21904991607591,47.2310769662087,0.285912619325808,0,0.75,4
"CADPH-CovidCAT_Ensemble",2026-03-21,0.48593504975028,0.521703095785459,15.0159157539633,0.0892061341623047,0.534026429811616,0.622264270669424,24.07201842021,0.140366648957169,0.75,1,4
"CADPH-CovidCAT_Ensemble",2026-03-28,0.653331796952449,0.69784484942887,18.7594120318139,0.105119384367486,0.849275672828739,0.961541330582679,33.1030770688227,0.191501388311877,0.25,1,4
"CADPH-CovidCAT_Ensemble",2026-04-04,1.99295023418136,1.89834898154036,52.4029916434418,0.458298847787688,2.44527794972648,2.7533953308717,71.5565365103594,0.652552667270922,0,0,4
